,Count,Dist1,Dist2,Dist3,Dist4,Dist5,Sim1,Sim2,Sim3,Sim4,Sim5,Word
131,1,0.942821621895,0.937932312489,0.936603844166,0.935690224171,0.934614777565,wrkl,whidbey,inbound,scioto,beems,bonelli
132,20,0.908043563366,0.904034495354,0.90301668644,0.899848282337,0.899514198303,abt,estimated,agl,hi,captivating,estimate
133,1,0.889068841934,0.887366831303,0.877014458179,0.872047781944,0.871923208237,shadowy,flotation,staunton,sauces,lightes,obkject
134,1,0.879231214523,0.872609376907,0.867741942406,0.866236209869,0.863097786903,roving,zenith,proceeding,ese,horizion,dgr
135,4,0.927751123905,0.923631250858,0.92092615366,0.919619739056,0.919522643089,beauty,produce,likes,techonoligal,taylorsville,disturbed
136,1,0.956684648991,0.956389725208,0.955991566181,0.955002129078,0.954738438129,objetos,puerto,rico,donde,massachussetts,frontroom
137,3,0.847140789032,0.844763576984,0.84030598402,0.83913141489,0.833213984966,movingtoward,flare,grow,spark,jig,lazers
138,1,0.89086997509,0.882881164551,0.873957037926,0.872399091721,0.866954028606,duration,nunavut,twenty,lasted,lasts,sfter
139,1,0.892748236656,0.89239358902,0.881495296955,0.880655407906,0.880016684532,tailing,follwiing,thwn,dominion,awaiting,kfc
140,315,0.980301082134,0.96082752943,0.951604664326,0.946561396122,0.946554720402,boomerang,diamond,wedge,crescent,egg,chevron
141,1,0.920835196972,0.91822373867,0.911931812763,0.909561812878,0.908747136593,cake,vibrating,overtones,beeping,spherish,apparnet
142,1,0.873397469521,0.862233102322,0.851160109043,0.850088715553,0.849907457829,avoid,sholder,wnw,populations,wingdale,kfi
143,1,0.778377950191,0.776806592941,0.771549105644,0.770845115185,0.767645955086,newman,construc,dmv,treetops,nfl,hovring
144,10,0.972231626511,0.968418180943,0.966876804829,0.965362370014,0.964049637318,sr,church,company,dave,concert,service
145,5,0.953491389751,0.946522533894,0.942097127438,0.941260099411,0.939775526524,pay,done,care,write,wanna,needed
146,2,0.959465920925,0.949036419392,0.948272645473,0.945794761181,0.945665538311,situation,uses,cranberry,transport,filho,master
147,1,0.920186698437,0.919826567173,0.915121257305,0.914790332317,0.914773523808,format,roundish,aligned,sectioned,alternation,fuzziness
148,1,0.962066650391,0.959949195385,0.957044422626,0.955639779568,0.954877793789,intercpta,bigorbs,eso,salimos,ccedil,lessactivity
149,1,0.968931555748,0.967652142048,0.966885209084,0.966510295868,0.966062009335,alta,cuando,globos,stuns,rico,insunlight
